text,label
Aliens patent anti-aging candy made from starlight,FAKE
Ghost train begins daily service to the Moon,FAKE
Flying sheep establish aerial farming cooperatives,FAKE
Dragons become chief architects of floating cities,FAKE
Cats launch spacecraft powered entirely by yarn,FAKE
Mermaids create underwater university for marine politics,FAKE
Dinosaurs open chain of luxury shopping centers,FAKE
Talking bears develop revolutionary stock prediction software,FAKE
Aliens install weather-control machines in deserts,FAKE
Clouds start accepting payments for premium rainfall,FAKE
Ghost elected chairman of international aviation authority,FAKE
Flying whales build nests on skyscraper rooftops,FAKE
Dragons discover hidden planet behind the Moon,FAKE
Cats become official ambassadors to alien civilizations,FAKE
Mermaids invent underwater smartphones with fish-language support,FAKE
Dinosaurs dominate world championship chess tournaments,FAKE
Talking wolves establish global news broadcasting network,FAKE
Aliens launch teleportation-powered food delivery app,FAKE
Moon opens luxury resort for space tourists,FAKE
Ghost develops invisible construction technology,FAKE
Flying elephants begin operating intercontinental airlines,FAKE
Dragons create machine that converts dreams into energy,FAKE
Cats find ancient treasure buried inside a comet,FAKE
Mermaids become leading manufacturers of underwater vehicles,FAKE
Government launches nationwide tree plantation initiative,REAL
Scientists develop low-cost carbon capture technology,REAL
State upgrades emergency medical response network,REAL
Researchers discover new antibiotic-producing bacteria,REAL
New railway corridor improves freight transportation,REAL
Health ministry expands mental health support services,REAL
University establishes center for renewable energy studies,REAL
Farmers adopt AI-powered crop disease monitoring systems,REAL
Government announces grants for clean technology startups,REAL
Scientists identify rare marine species in coastal waters,REAL
City completes expansion of wastewater treatment facilities,REAL
Researchers improve efficiency of solar panel materials,REAL
New industrial corridor boosts manufacturing growth,REAL
State introduces smart classroom technology in schools,REAL
Wildlife officials report recovery of endangered bird species,REAL
Government funds development of electric public transport,REAL
Scientists discover promising biodegradable polymer material,REAL
Researchers study impact of urban forests on air quality,REAL
New hospital provides specialized cancer treatment services,REAL
Government expands vocational training opportunities for women,REAL
Scientists publish findings on sustainable agriculture methods,REAL
City launches advanced flood warning system,REAL
Researchers develop low-cost earthquake detection sensors,REAL
Government invests in hydrogen fuel infrastructure projects,REAL
Scientists discover ancient fossils in desert region,REAL
State modernizes water supply management systems,REAL
Researchers improve recycling methods for lithium batteries,REAL
Government launches rural entrepreneurship support program,REAL
Scientists study coral reef restoration techniques,REAL
New logistics center improves supply chain efficiency,REAL
Health authorities expand telemedicine access nationwide,REAL
Researchers create energy-efficient building materials,REAL
Government announces investment in smart agriculture,REAL
Scientists discover new species of freshwater fish,REAL
City upgrades public transportation tracking systems,REAL
Researchers develop advanced wildfire monitoring technology,REAL
Government supports community-based conservation projects,REAL
Scientists investigate long-term effects of climate adaptation,REAL
State launches initiative to reduce food waste,REAL
Researchers improve water filtration technology for villages,REAL
Government expands affordable housing development projects,REAL
Scientists develop innovative biodegradable medical implants,REAL
New express freight network boosts regional commerce,REAL
Researchers study ecosystem recovery after reforestation efforts,REAL
Government funds construction of renewable energy parks,REAL
Scientists discover natural compound with medical potential,REAL
City introduces smart waste collection systems,REAL
Researchers improve drought forecasting accuracy,REAL
Government launches digital services for small businesses,REAL
Scientists monitor recovery of protected wildlife habitats,REAL
Aliens purchase Antarctica to build intergalactic resort,FAKE
Dragons become official referees in international football matches,FAKE
Cats discover invisible city beneath ocean floor,FAKE
Ghost opens world's first invisible shopping mall,FAKE
Mermaids launch underwater ride-sharing company,FAKE
Dinosaurs establish chain of luxury mountain hotels,FAKE
Talking parrots replace teachers in primary schools,FAKE
Moon begins charging toll tax for moonlight usage,FAKE
Invisible kangaroos dominate international racing events,FAKE
Aliens introduce anti-gravity skateboards for commuters,FAKE
Dragons create floating farms above major cities,FAKE
Cats invent machine that translates whale songs into poetry,FAKE
Ghost becomes chairman of global energy council,FAKE
Mermaids develop underwater cryptocurrency exchange,FAKE
Dinosaurs build world's tallest skyscraper on Mars,FAKE
Talking rabbits establish successful airline company,FAKE
Clouds start offering premium weather subscription plans,FAKE
Aliens launch teleportation-based grocery delivery service,FAKE
Flying zebras discovered migrating across oceans,FAKE
Ghost city hosts international technology summit,FAKE
Dragons manufacture self-healing automobiles,FAKE
Cats open embassy for interspecies diplomacy,FAKE
Mermaids discover lost alien civilization under Pacific Ocean,FAKE
Dinosaurs become world champions in professional cycling,FAKE
Talking foxes create global social networking platform,FAKE
Moon applies to host next FIFA World Cup,FAKE
Aliens patent invisible clothing for everyday use,FAKE
Ghost train starts direct route to Jupiter,FAKE
Flying sheep establish international cargo company,FAKE
Dragons replace satellites with fire-powered communication systems,FAKE
Cats build underwater amusement park near Arctic region,FAKE
Mermaids begin exporting seafoam-powered batteries,FAKE
Dinosaurs launch successful chain of coffee shops,FAKE
Talking bears become bestselling science fiction authors,FAKE
Aliens create weather machine that produces rainbow storms,FAKE
Clouds begin storing digital data for tech companies,FAKE
Ghost elected governor of floating island nation,FAKE
Flying whales establish aerial tourism industry,FAKE
Dragons discover hidden kingdom inside volcano,FAKE
Cats become chief engineers of lunar colonies,FAKE
Mermaids invent underwater virtual reality platform,FAKE
Dinosaurs dominate international robotics competitions,FAKE
Talking wolves start global financial consulting firm,FAKE
Aliens introduce personal teleportation devices in schools,FAKE
Moon opens first luxury shopping district in space,FAKE
Ghost develops invisible architecture techniques,FAKE
Flying elephants launch world's largest airline alliance,FAKE
Dragons create energy source powered by laughter,FAKE
Cats discover ancient library hidden inside comet,FAKE
Mermaids establish underwater parliament for marine nations,FAKE
Government launches national river restoration program,REAL
Scientists develop low-cost hydrogen storage technology,REAL
State expands digital healthcare records system,REAL
Researchers discover new method to improve crop yields sustainably,REAL
New freight railway line enhances regional trade routes,REAL
Health ministry introduces nationwide cancer screening initiative,REAL
University opens advanced biotechnology research center,REAL
Farmers adopt drone-based field monitoring solutions,REAL
Government funds modernization of public libraries,REAL
Scientists identify new species of deep-sea crustacean,REAL
City completes major urban green space expansion project,REAL
Researchers improve efficiency of electric vehicle batteries,REAL
New airport cargo facility boosts export capacity,REAL
State introduces AI-assisted traffic management system,REAL
Wildlife conservation efforts increase leopard population,REAL
Government announces grants for renewable energy startups,REAL
Scientists discover microbial solution for wastewater treatment,REAL
Researchers study long-term effects of ecosystem restoration,REAL
New medical institute provides advanced cardiac care services,REAL
Government expands scholarship opportunities in STEM fields,REAL
Scientists publish research on sustainable fisheries management,REAL
City launches smart water leak detection network,REAL
Researchers develop affordable biodegradable food packaging,REAL
Government invests in coastal protection infrastructure,REAL
Scientists discover rare plant species in mountain region,REAL
State modernizes public transportation payment systems,REAL
Researchers improve techniques for recycling electronic waste,REAL
Government launches initiative to promote electric mobility,REAL
Scientists study migration routes of endangered marine animals,REAL
New logistics hub strengthens agricultural exports,REAL
Health authorities expand mobile healthcare units,REAL
Researchers create energy-efficient desalination system,REAL
Government funds construction of climate-resilient infrastructure,REAL
Scientists discover potential treatment for antibiotic resistance,REAL
City upgrades emergency disaster preparedness facilities,REAL
Researchers develop smart irrigation tools for farmers,REAL
Government supports community solar energy projects,REAL
Scientists investigate effects of urban heat reduction measures,REAL
State launches entrepreneurship training for rural youth,REAL
Researchers improve wildfire prediction models,REAL
Government expands affordable housing development schemes,REAL
Scientists discover natural compounds with antiviral properties,REAL
New industrial park attracts manufacturing investments,REAL
Researchers study biodiversity recovery in restored forests,REAL
Government invests in advanced cybersecurity systems,REAL
Scientists develop eco-friendly alternative to construction materials,REAL
City introduces smart parking and navigation platform,REAL
Researchers improve flood forecasting using satellite data,REAL
Government launches digital marketplace for farmers,REAL
Scientists monitor recovery of endangered wetland ecosystems,REAL
Aliens purchase Mount Everest to build space elevator,FAKE
Dragons become official coaches of national football teams,FAKE
Cats discover hidden treasure beneath the Moon,FAKE
Ghost launches world's first invisible airline,FAKE
Mermaids establish underwater stock exchange,FAKE
Dinosaurs open luxury hotels on floating islands,FAKE
Talking parrots become international diplomats,FAKE
Moon begins selling advertising space to corporations,FAKE
Invisible horses win international racing championships,FAKE
Aliens introduce levitating bicycles for urban transport,FAKE
Dragons build cloud-powered energy stations,FAKE
Cats invent device that converts dreams into movies,FAKE
Ghost elected chairman of global transport authority,FAKE
Mermaids launch underwater music streaming service,FAKE
Dinosaurs create world's fastest delivery company,FAKE
Talking rabbits establish multinational insurance firm,FAKE
Clouds start renting space for digital billboards,FAKE
Aliens create teleportation tunnels between cities,FAKE
Flying zebras become official postal carriers,FAKE
Ghost city wins award for best tourist destination,FAKE
Dragons manufacture fireproof smartphones,FAKE
Cats establish first colony on Neptune,FAKE
Mermaids discover ancient city beneath Arctic ice,FAKE
Dinosaurs dominate international golf tournaments,FAKE
Talking foxes launch world's largest search engine,FAKE
Moon announces plans to join international trade organizations,FAKE
Aliens patent anti-gravity backpacks for students,FAKE
Ghost train begins daily route between Earth and Mars,FAKE
Flying sheep open intercontinental cargo network,FAKE
Dragons replace airplanes with wing-powered passenger transport,FAKE
Cats build underwater shopping malls,FAKE
Mermaids export seaweed-powered electric vehicles,FAKE
Dinosaurs open luxury cruise line across deserts,FAKE
Talking bears become professors of quantum physics,FAKE
Aliens install weather-control towers in jungles,FAKE
Clouds begin selling premium sunshine subscriptions,FAKE
Ghost elected mayor of invisible capital city,FAKE
Flying whales establish airborne freight services,FAKE
Dragons discover hidden civilization inside asteroid,FAKE
Cats become chief architects of Martian cities,FAKE
Mermaids invent underwater holographic communication devices,FAKE
Dinosaurs win world robotics championship,FAKE
Talking wolves found multinational investment company,FAKE
Aliens introduce personal teleportation watches,FAKE
Moon opens luxury resort chain across craters,FAKE
Ghost develops invisible skyscraper construction technology,FAKE
Flying elephants create global tourism airline,FAKE
Dragons invent machine powered entirely by thunder,FAKE
Cats discover ancient kingdom hidden within rainbow,FAKE
Mermaids establish underwater supreme court,FAKE
FIFA World Cup group stage matches continue on June 18 with England facing Croatia,REAL
India experiences a weak monsoon season linked to a strong El Niño event,REAL
Petrol and diesel prices remain unchanged across major Indian cities,REAL
G7 leaders discuss Ukraine security immigration and energy issues in France,REAL
Researchers warn that extreme heat poses growing risks to outdoor workers in India,REAL
India expands irrigation coverage to reduce dependence on monsoon rainfall,REAL
Federal Reserve keeps interest rates unchanged amid inflation concerns,REAL
Oil prices react to uncertainty surrounding Middle East tensions and ceasefire efforts,REAL
Prime Minister Narendra Modi attends the G7 summit as an outreach invitee,REAL
Public discussion continues over a reported US-Iran peace agreement,REAL
Aliens establish a permanent embassy inside the Taj Mahal,FAKE
Dragons begin operating commercial airlines across Asia,FAKE
The Moon announces plans to join the United Nations,FAKE
Invisible elephants are discovered living in New Delhi metro stations,FAKE
Scientists confirm that clouds are made of cotton candy,FAKE
Cats win a national election and form a coalition government,FAKE
Mermaids open an underwater stock exchange in the Indian Ocean,FAKE
Time travelers accurately publish next year's newspaper today,FAKE
Flying whales begin transporting cargo between continents,FAKE
Ghosts become licensed doctors in government hospitals,FAKE
US and Iran sign an initial agreement aimed at ending the conflict and reopening the Strait of Hormuz,REAL
G7 leaders meet in France to discuss Ukraine Iran and global economic security,REAL
Ukraine launches major drone attacks targeting infrastructure near Moscow,REAL
Global oil markets react to developments surrounding the Iran ceasefire agreement,REAL
The Strait of Hormuz remains a major focus of international energy security discussions,REAL
European leaders push for continued support for Ukraine at the G7 summit,REAL
World Cup 2026 group stage matches continue across North America,REAL
Central banks monitor inflation pressures linked to geopolitical tensions,REAL
Japan considers further interest rate adjustments amid economic changes,REAL
The Federal Reserve faces scrutiny over future interest rate policy decisions,REAL
Three Saudi oil tankers successfully transit the Strait of Hormuz after the agreement,REAL
International leaders discuss critical mineral supply chains and economic resilience,REAL
Ukraine seeks additional diplomatic and military support from allies,REAL
Researchers continue monitoring the impact of AI on global electricity demand,REAL
The UK strengthens diplomatic engagement with both India and China,REAL
Scientists warn that climate-related heat risks are increasing globally,REAL
Governments invest in renewable energy and energy-security initiatives,REAL
Global markets closely follow developments in Middle East diplomacy,REAL
The G7 summit includes discussions on artificial intelligence and security,REAL
International organizations continue monitoring humanitarian conditions in conflict zones,REAL
World leaders debate maritime security measures in the Gulf region,REAL
Economic policymakers assess inflation risks from recent geopolitical events,REAL
Countries explore strategies to reduce dependence on critical mineral imports,REAL
Global attention remains focused on developments in Ukraine and the Middle East,REAL
Energy prices remain sensitive to geopolitical developments affecting supply routes,REAL
